Edad,primaria_inferior_hombres_abs,primera_etapa_secundaria_hombres_abs,segunda_etapa_secundaria_hombres_abs,superiores_hombres_abs,noaplicable_hombres_abs,primaria_inferior_mujeres_abs,primera_etapa_secundaria_mujeres_abs,segunda_etapa_secundaria_mujeres_abs,superiores_mujeres_abs,noaplicable_mujeres_abs,primaria_inferior_hombres_porc,primera_etapa_secundaria_hombres_porc,segunda_etapa_secundaria_hombres_porc,superiores_hombres_porc,noaplicable_hombres_porc,primaria_inferior_mujeres_porc,primera_etapa_secundaria_mujeres_porc,segunda_etapa_secundaria_mujeres_porc,superiores_mujeres_porc,noaplicable_mujeres_porc
0-4,0,0,0,0,-982467,0,0,0,0,929439,0.0,0.0,0.0,0.0,-2.07,0.0,0.0,0.0,0.0,1.96
5-9,0,0,0,0,-1172526,0,0,0,0,1103988,0.0,0.0,0.0,0.0,-2.5,0.0,0.0,0.0,0.0,2.3
10-14,-510,0,0,0,-1300899,498,0,0,0,1224342,-0.00,0.0,0.0,0.0,-2.74,0.001,0.0,0.0,0.0,2.58
15-19,-233136,-686541,-325587,0,0,159387,677928,334704,0,0,-0.5,-1.45,-0.69,0.0,0.0,0.336,1.43,0.71,0.0,0.0
20-24,-96915,-229986,-581787,-310572,0,71250,155661,504321,426018,0,-0.20,-0.49,-1.23,-0.66,0.0,0.150,0.33,1.1,0.90,0.0
25-29,-112182,-328539,-307056,-541446,0,85269,215169,253614,696573,0,-0.24,-0.69,-0.65,-1.14,0.0,0.180,0.45,0.5,1.47,0.0
30-34,-129147,-436680,-297819,-532083,0,113406,286395,275970,710160,0,-0.27,-0.92,-0.63,-1.12,0.0,0.239,0.60,0.58,1.50,0.0
35-39,-126303,-538953,-366243,-596025,0,120924,355299,343500,802632,0,-0.27,-1.14,-0.77,-1.26,0.0,0.255,0.7,0.72,1.69,0.0
40-44,-135834,-605934,-458058,-784974,0,124026,399117,416973,1000941,0,-0.29,-1.3,-0.97,-1.66,0.0,0.262,0.84,0.88,2.11,0.0
45-49,-134241,-636840,-446019,-780672,0,122406,473172,414528,940731,0,-0.28,-1.34,-0.94,-1.65,0.0,0.258,1.00,0.87,1.98,0.0
50-54,-146892,-633375,-428694,-641160,0,144429,557139,429483,721092,0,-0.3,-1.34,-0.90,-1.4,0.0,0.305,1.2,0.91,1.52,0.0
55-59,-166221,-613152,-384423,-521241,0,177996,589629,412044,559725,0,-0.4,-1.29,-0.8,-1.1,0.0,0.38,1.24,0.87,1.2,0.0
60-64,-189504,-537711,-319923,-411591,0,241461,590061,328437,389628,0,-0.40,-1.13,-0.67,-0.87,0.0,0.509,1.24,0.69,0.82,0.0
65-69,-219759,-439935,-227994,-294351,0,325221,509268,223812,241344,0,-0.46,-0.93,-0.48,-0.62,0.0,0.686,1.07,0.47,0.51,0.0
70-74,-274248,-362823,-158004,-223152,0,474420,407016,145584,157821,0,-0.58,-0.77,-0.33,-0.47,0.0,1.001,0.86,0.31,0.33,0.0
75-79,-298509,-241806,-98286,-145959,0,538380,260931,90501,95289,0,-0.63,-0.51,-0.21,-0.31,0.0,1.136,0.55,0.19,0.20,0.0
80-84,-290175,-111990,-50283,-74133,0,524616,141021,52287,50688,0,-0.61,-0.24,-0.11,-0.16,0.0,1.107,0.30,0.11,0.1,0.0
85-89,-236133,-55305,-27939,-41598,0,470967,90630,35397,32877,0,-0.50,-0.12,-0.06,-0.09,0.0,0.994,0.2,0.07,0.07,0.0
90-94,-95049,-17673,-9321,-14412,0,238587,38916,16605,15273,0,-0.20,-0.04,-0.02,-0.03,0.0,0.503,0.08,0.04,0.03,0.0
95-99,-19710,-3279,-1836,-2865,0,66252,9981,4500,4017,0,-0.04,-0.0,-0.00,-0.0,0.0,0.140,0.02,0.01,0.01,0.0
100 y más,-1590,-243,-153,-246,0,8286,1146,540,552,0,-0.00,-0.00,-0.00,-0.00,0.0,0.017,0.00,0.00,0.00,0.0
,,,,,,,,,,,,,,,,,,,,
Total población 2021,47400800,,,,,,,,,Porcentaje hombres,49.047,,,,Porcentaje mujeres,50.953,,,,

Datos censo 2021,,,,,,,,,,,,,,,,,,,,
